  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.805 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3895   0.00647   0.00147  -0.0824   0.6722   0.5483
   1.000   0.4948   0.00573   0.00172  -0.0801   0.6278   0.9689
   2.000   0.6448   0.00617   0.00184  -0.0885   0.5699   1.0000
   3.000   0.7411   0.00675   0.00210  -0.0853   0.5012   1.0000
   4.000   0.8313   0.00783   0.00263  -0.0812   0.3878   1.0000
   5.000   0.9279   0.00878   0.00330  -0.0785   0.3307   1.0000
   6.000   1.0286   0.00956   0.00401  -0.0766   0.3021   1.0000
   7.000   1.1287   0.01040   0.00477  -0.0748   0.2652   1.0000
   8.000   1.2211   0.01174   0.00583  -0.0720   0.1945   1.0000
   9.000   1.2948   0.01428   0.00783  -0.0665   0.1022   1.0000
  10.000   1.3650   0.01649   0.00984  -0.0604   0.0612   1.0000
  11.000   1.4007   0.02067   0.01379  -0.0501   0.0149   1.0000
  12.000   1.4396   0.02505   0.01847  -0.0423   0.0122   1.0000
  13.000   1.4730   0.03044   0.02417  -0.0362   0.0108   1.0000
  14.000   1.4761   0.03950   0.03359  -0.0311   0.0096   1.0000
  15.000   1.4703   0.05105   0.04554  -0.0293   0.0090   1.0000
  16.000   1.4521   0.06596   0.06087  -0.0307   0.0085   1.0000
  17.000   1.4185   0.08464   0.07997  -0.0352   0.0081   1.0000
  18.000   1.3792   0.10541   0.10113  -0.0419   0.0078   1.0000
  19.000   1.3446   0.12592   0.12195  -0.0497   0.0075   1.0000
  20.000   1.3247   0.14366   0.13996  -0.0571   0.0072   1.0000
