  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA0012                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.405 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00664   0.00235  -0.0000   0.8212   0.8212
   1.000   0.1031   0.00690   0.00247   0.0038   0.7238   0.8973
   2.000   0.2150   0.00758   0.00280   0.0053   0.6109   0.9485
   3.000   0.3559   0.00854   0.00325  -0.0004   0.4789   0.9746
   4.000   0.5069   0.00965   0.00379  -0.0092   0.3309   0.9926
   5.000   0.6319   0.01092   0.00445  -0.0133   0.1942   1.0000
   6.000   0.7159   0.01233   0.00547  -0.0087   0.1107   1.0000
   7.000   0.7961   0.01405   0.00700  -0.0032   0.0719   1.0000
   8.000   0.8757   0.01594   0.00890   0.0025   0.0538   1.0000
   9.000   0.9533   0.01834   0.01142   0.0081   0.0434   1.0000
  10.000   1.0300   0.02116   0.01441   0.0131   0.0364   1.0000
  11.000   1.0991   0.02476   0.01821   0.0184   0.0317   1.0000
  12.000   1.1565   0.02856   0.02226   0.0246   0.0283   1.0000
  13.000   1.1860   0.03438   0.02864   0.0321   0.0260   1.0000
  14.000   1.2047   0.04138   0.03601   0.0358   0.0241   1.0000
  15.000   1.1849   0.05488   0.05015   0.0342   0.0231   1.0000
  16.000   1.1220   0.07787   0.07396   0.0218   0.0227   1.0000
  17.000   0.9879   0.12079   0.11769  -0.0050   0.0231   1.0000
  19.000   0.5336   0.19080   0.18827  -0.0245   0.0286   1.0000
  20.000   0.5429   0.20266   0.20015  -0.0299   0.0262   1.0000
