  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000   0.3469   0.00547   0.00140  -0.0499   0.5863   0.8662
   2.000   0.4549   0.00581   0.00168  -0.0482   0.5228   0.9647
   3.000   0.5946   0.00639   0.00200  -0.0542   0.4572   0.9943
   4.000   0.7154   0.00711   0.00236  -0.0566   0.3698   1.0000
   5.000   0.8090   0.00804   0.00291  -0.0531   0.2805   1.0000
   6.000   0.9016   0.00945   0.00381  -0.0497   0.1762   1.0000
   7.000   0.9944   0.01114   0.00504  -0.0467   0.0892   1.0000
   8.000   1.0885   0.01270   0.00642  -0.0440   0.0541   1.0000
   9.000   1.1801   0.01435   0.00804  -0.0409   0.0419   1.0000
  10.000   1.2696   0.01591   0.00970  -0.0377   0.0367   1.0000
  11.000   1.3499   0.01779   0.01173  -0.0333   0.0324   1.0000
  12.000   1.4113   0.02015   0.01423  -0.0262   0.0284   1.0000
  13.000   1.4697   0.02283   0.01705  -0.0200   0.0245   1.0000
  14.000   1.5226   0.02621   0.02063  -0.0147   0.0212   1.0000
  15.000   1.5595   0.03141   0.02606  -0.0101   0.0181   1.0000
  16.000   1.5772   0.03936   0.03428  -0.0073   0.0156   1.0000
  17.000   1.5782   0.05040   0.04565  -0.0073   0.0139   1.0000
  18.000   1.5414   0.06804   0.06372  -0.0115   0.0128   1.0000
  19.000   1.4941   0.08891   0.08507  -0.0188   0.0122   1.0000
  20.000   1.4256   0.11475   0.11138  -0.0299   0.0117   1.0000
   1.000   0.3469   0.00547   0.00140  -0.0499   0.5863   0.8662
   2.000   0.4549   0.00581   0.00168  -0.0482   0.5228   0.9647
   3.000   0.5946   0.00639   0.00200  -0.0542   0.4572   0.9943
   4.000   0.7154   0.00711   0.00236  -0.0566   0.3698   1.0000
   5.000   0.8090   0.00804   0.00291  -0.0531   0.2805   1.0000
   6.000   0.9016   0.00945   0.00381  -0.0497   0.1762   1.0000
   7.000   0.9944   0.01114   0.00504  -0.0467   0.0892   1.0000
   8.000   1.0885   0.01270   0.00642  -0.0440   0.0541   1.0000
   9.000   1.1801   0.01435   0.00804  -0.0409   0.0419   1.0000
  10.000   1.2696   0.01591   0.00970  -0.0377   0.0367   1.0000
  11.000   1.3499   0.01779   0.01173  -0.0333   0.0324   1.0000
  12.000   1.4113   0.02015   0.01423  -0.0262   0.0284   1.0000
  13.000   1.4697   0.02283   0.01705  -0.0200   0.0245   1.0000
  14.000   1.5226   0.02621   0.02063  -0.0147   0.0212   1.0000
  15.000   1.5595   0.03141   0.02606  -0.0101   0.0181   1.0000
  16.000   1.5772   0.03936   0.03428  -0.0073   0.0156   1.0000
  17.000   1.5782   0.05040   0.04565  -0.0073   0.0139   1.0000
  18.000   1.5414   0.06804   0.06372  -0.0115   0.0128   1.0000
  19.000   1.4941   0.08891   0.08507  -0.0188   0.0122   1.0000
  20.000   1.4256   0.11475   0.11138  -0.0299   0.0117   1.0000
   1.000   0.3469   0.00547   0.00140  -0.0499   0.5863   0.8662
   2.000   0.4549   0.00581   0.00168  -0.0482   0.5228   0.9647
   3.000   0.5946   0.00639   0.00200  -0.0542   0.4572   0.9943
   4.000   0.7154   0.00711   0.00236  -0.0566   0.3698   1.0000
   5.000   0.8090   0.00804   0.00291  -0.0531   0.2805   1.0000
   6.000   0.9016   0.00945   0.00381  -0.0497   0.1762   1.0000
   7.000   0.9944   0.01114   0.00504  -0.0467   0.0892   1.0000
   8.000   1.0885   0.01270   0.00642  -0.0440   0.0541   1.0000
   9.000   1.1801   0.01435   0.00804  -0.0409   0.0419   1.0000
  10.000   1.2696   0.01591   0.00970  -0.0377   0.0367   1.0000
  11.000   1.3499   0.01779   0.01173  -0.0333   0.0324   1.0000
  12.000   1.4113   0.02015   0.01423  -0.0262   0.0284   1.0000
  13.000   1.4697   0.02283   0.01705  -0.0200   0.0245   1.0000
  14.000   1.5226   0.02621   0.02063  -0.0147   0.0212   1.0000
  15.000   1.5595   0.03141   0.02606  -0.0101   0.0181   1.0000
  16.000   1.5772   0.03936   0.03428  -0.0073   0.0156   1.0000
  17.000   1.5782   0.05040   0.04565  -0.0073   0.0139   1.0000
  18.000   1.5414   0.06804   0.06372  -0.0115   0.0128   1.0000
  19.000   1.4941   0.08891   0.08507  -0.0188   0.0122   1.0000
  20.000   1.4256   0.11475   0.11138  -0.0299   0.0117   1.0000
