  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.405 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2328   0.00678   0.00245  -0.0494   0.7629   0.8959
   1.000   0.3663   0.00718   0.00258  -0.0526   0.6927   0.9773
   2.000   0.5180   0.00768   0.00267  -0.0611   0.6114   1.0000
   3.000   0.6128   0.00819   0.00288  -0.0578   0.5460   1.0000
   4.000   0.7070   0.00888   0.00329  -0.0542   0.4771   1.0000
   5.000   0.8012   0.00974   0.00388  -0.0507   0.3952   1.0000
   6.000   0.8946   0.01099   0.00476  -0.0475   0.2924   1.0000
   7.000   0.9812   0.01307   0.00625  -0.0436   0.1669   1.0000
   8.000   1.0596   0.01590   0.00856  -0.0386   0.0806   1.0000
   9.000   1.1381   0.01835   0.01108  -0.0337   0.0613   1.0000
  10.000   1.2053   0.02107   0.01396  -0.0273   0.0522   1.0000
  11.000   1.2560   0.02449   0.01761  -0.0193   0.0459   1.0000
  12.000   1.2976   0.02901   0.02233  -0.0122   0.0405   1.0000
  13.000   1.3364   0.03412   0.02771  -0.0072   0.0356   1.0000
  14.000   1.3609   0.04134   0.03535  -0.0036   0.0314   1.0000
  15.000   1.3692   0.05105   0.04539  -0.0020   0.0281   1.0000
  16.000   1.3693   0.06303   0.05782  -0.0040   0.0254   1.0000
  17.000   1.3496   0.07883   0.07406  -0.0082   0.0233   1.0000
  18.000   1.3151   0.09898   0.09480  -0.0167   0.0218   1.0000
  19.000   1.2809   0.12047   0.11668  -0.0275   0.0206   1.0000
  20.000   1.2221   0.14855   0.14526  -0.0436   0.0197   1.0000
